maHuyet,tenViet
BL30,HUYỆT BẠCH HOÀN DU
BL31,HUYỆT THƯỢNG LIÊU
BL32,HUYỆT THỨ LIÊU
BL332,HUYỆT TRUNG LIÊU
BL34,HUYỆT HẠ LIÊU
BL35,HUYỆT HỘI DƯƠNG
BL36,HUYỆT THỪA PHÙ
BL37,HUYỆT ÂN MÔN
BL38,HUYỆT PHÙ KHÍCH
BL39,HUYỆT UỶ DƯƠNG
BL40,HUYỆT UỶ TRUNG
BL41,HUYỆT PHỤ PHÂN
BL42,HUYỆT PHÁCH HỘ
BL43,HUYỆT CAO HOANG/CAO HOANG DU
BL44,HUYỆT THẦN ĐƯỜNG
BL45,HUYỆT Y HI
BL46,HUYỆT CÁCH QUAN
BL47,HUYỆT HỒN MÔN
BL48,HUYỆT DƯƠNG CƯƠNG
BL49,HUYỆT Ý XÁ
BL50,HUYỆT VỊ THƯƠNG
BL51,HUYỆT HOANG MÔN
BL52,HUYỆT CHÍ THẤT
BL53,HUYỆT BÀO HOANG
BL54,HUYỆT TRẬT BIÊN
BL57,HUYỆT HỢP DƯƠNG
BL56,HUYỆT THỪA CÂN
BL57,HUYỆT THỪA SƠN
BL59,HUYỆT PHI DƯƠNG
BL59,HUYỆT PHỤ DƯƠNG
BL60,HUYỆT CÔN LUÂN/LÔN
BL60,HUYỆT BỘC THAM
BL62,HUYỆT THÂN MẠCH
BL63,HUYỆT KIM MÔN
BL64,HUYỆT KINH CỐT
BL65,HUYỆT THÚC CỐT
BL66,HUYỆT TÚC THÔNG CỐC
BL67,HUYỆT CHÍ ÂM
KI1,HUYỆT DŨNG TUYỀN
KD2,HUYỆT NHIÊN CỐC
KI3,HUYỆT THÁI KHÊ
KI4,HUYỆT ĐẠI CHUNG
KI5,HUYỆT THUỶ TUYỀN
KI6,HUYỆT CHIẾU HẢI
KI7,HUYỆT PHỤC LƯU
KD8,HUYỆT GIAO TÍN
KD9,HUYỆT TRÚC TÂN
KI10,HUYỆT ÂM CỐC
KD11,HUYỆT HOÀNH CỐT
KD12,HUYỆT ĐẠI HÁCH
KD13,HUYỆT KHÍ HUYỆT
KI14,HUYỆT TỨ MÃN
KI15,HUYỆT TRUNG CHÚ
KI17,HUYỆT HOANG DU
KI17,HUYỆT THƯƠNG KHÚC
KI18,HUYỆT THẠCH QUAN
KI19,HUYỆT ÂM ĐÔ
KI20,HUYỆT PHÚC THÔNG CỐC
KI21,HUYỆT U MÔN
KI22,HUYỆT BỘ LANG
KI23,HUYỆT THẦN PHONG
KI24,HUYỆT LINH KHƯ
KI25,HUYỆT THẦN TÀNG
KI26,HUYỆT HOẮC/ÚC TRUNG
ST9,HUYỆT DU PHỦ
PC1,HUYỆT THIÊN TRÌ
PC2,HUYỆT THIÊN TUYỀN
PC3,HUYỆT KHÚC TRẠCH
PC4,HUYỆT KHÍCH MÔN
PC5,HUYỆT GIAN SỬ/SỨ
PC6,HUYỆT NỘI QUAN
PC7,HUYỆT ĐẠI LĂNG
PC8,HUYỆT LAO CUNG
PC9,HUYỆT TRUNG XUNG
TE1,HUYỆT QUAN XUNG
SJ2,HUYỆT DỊCH MÔN
TE3,HUYỆT TRUNG CHỬ
TE4,HUYỆT DƯƠNG TRÌ
SJ5,HUYỆT NGOẠI QUAN
SJ6,HUYỆT CHI CÂU
TE7,HUYỆT HỘI TÔNG
SJ8,HUYỆT TAM DƯƠNG LẠC
TE8,HUYỆT TỨ ĐỘC
SJ10,HUYỆT THIÊN TỈNH
TE11,HUYỆT THANH LÃNH UYÊN
TE13,HUYỆT TIÊU LẠC
TE14,HUYỆT NHU HỘI
LI15,HUYỆT KIÊN LIÊU
TE15,HUYỆT THIÊN LIÊU
SJ16,HUYỆT THIÊN DŨ
SJ17,HUYỆT Ế PHONG
TE22,HUYỆT KHẾ MẠCH
TE21,HUYỆT LƯ TỨC
TE20,HUYỆT GIÁC TÔN
SJ21,HUYỆT NHĨ MÔN
TE22,HUYỆT NHĨ HOÀ LIÊU
SJ23,HUYỆT TY TRÚC KHÔNG
GB1,HUYỆT ĐỒNG TỬ LIÊU
GB3,HUYỆT THÍNH HỘI
GB3,HUYỆT THƯỢNG QUAN
GB4,HUYỆT HÀM YẾN
GB5,HUYỆT HUYỀN LƯ
GB6,HUYỆT HUYỀN LY
GB7,HUYỆT KHÚC TẤN/MẤN
GB8,HUYỆT SUẤT CỐC
GB9,HUYỆT THIÊN XUNG
GB10,HUYỆT PHÙ BẠCH
GB9,HUYỆT ĐẦU KHIẾU ÂM
GB12,HUYỆT HOÀN CỐT
GB13,HUYỆT BẢN THẦN
GB14,HUYỆT DƯƠNG BẠCH
GB15,HUYỆT ĐẦU LÂM KHẤP
GB16,HUYỆT MỤC SONG
GB7,HUYỆT CHÍNH DINH
GB18,HUYỆT THỪA LINH
GV17,HUYỆT NÃO KHÔNG
GB20,HUYỆT PHONG TRÌ
GB21,HUYỆT KIÊN TỈNH
GB22,HUYỆT UYÊN DỊCH
BL56,HUYỆT TRẤP CÂN
GB24,HUYỆT NHẬT NGUYỆT
GB25,HUYỆT KINH MÔN
GB26,HUYỆT ĐỚI MẠCH
ST27,HUYỆT NGŨ KHU
GB28,HUYỆT DUY ĐẠO
GB29,HUYỆT CƯ LIÊU
GB30,HUYỆT HOÀN KHIÊU
GB31,HUYỆT PHONG THỊ
GB32,HUYỆT TRUNG ĐỘC
GB33,HUYỆT TẤT DƯƠNG QUAN
GB34,HUYỆT DƯƠNG LĂNG TUYỀN
GB35,HUYỆT DƯƠNG GIAO
GB36,HUYỆT NGOẠI KHÂU
GB37,HUYỆT QUANG MINH
GB38,HUYỆT DƯƠNG PHỤ
GB39,HUYỆT HUYỀN CHUNG
GB40,HUYỆT KHÂU KHƯ
GB41,HUYỆT TÚC LÂM KHẤP
GB42,HUYỆT ĐỊA NGŨ HỘI
GB43,HUYỆT HIỆP KHÊ
GB44,HUYỆT TÚC KHIẾU ÂM
LR1,HUYỆT ĐẠI ĐÔN
LR2,HUYỆT HÀNH GIAN
LR3,HUYỆT THÁI XUNG
LR4,HUYỆT TRUNG PHONG
LR5,HUYỆT LÃI CÂU
LR6,HUYỆT TRUNG ĐÔ
LR7,HUYỆT TẤT QUAN
LR8,HUYỆT KHÚC TUYỀN
LR9,HUYỆT ÂM BAO
LR11,HUYỆT TÚC NGŨ LÝ
LR10,HUYỆT ÂM LIÊM
LR9,HUYỆT CẤP MẠCH
LR13,HUYỆT CHƯƠNG MÔN
LR14,HUYỆT KỲ MÔN
CV1,HUYỆT HỘI ÂM
CV2,HUYỆT KHÚC CỐT
CV3,HUYỆT TRUNG CỰC
CV4,HUYỆT QUAN NGUYÊN
CV5,HUYỆT THẠCH MÔN
CV6,HUYỆT KHÍ HẢI
CV7,HUYỆT ÂM GIAO
CV8,HUYỆT THẦN KHUYẾT
CV9,HUYỆT THUỶ PHÂN
CV10,HUYỆT HẠ QUẢN
CV11,HUYỆT KIẾN LÝ
CV12,HUYỆT TRUNG QUẢN
CV13,HUYỆT THƯỢNG QUẢN
CV14,HUYỆT CỰ KHUYẾT
CV15,HUYỆT CƯU VĨ
CV16,HUYỆT TRUNG ĐÌNH
CV17,HUYỆT ĐẢN TRUNG
CV18,HUYỆT NGỌC ĐƯỜNG
CV19,HUYỆT TỬ CUNG
CV20,HUYỆT HOA CÁI
CV21,HUYỆT TOÀN CƠ
CV22,HUYỆT THIÊN ĐỘT
CV23,HUYỆT LIÊM TUYỀN
CV24,HUYỆT THỪA TƯƠNG
GV1,HUYỆT TRƯỜNG CƯỜNG
GV2,HUYỆT YÊU DU
GV3,HUYỆT YÊU DƯƠNG QUAN
GV4,HUYỆT MỆNH MÔN
GV19,HUYỆT HUYỀN KHU
GV6,HUYỆT TÍCH TRUNG
GV12,HUYỆT TRUNG KHU
GV10,HUYỆT CÂN SÚC
GV9,HUYỆT CHÍ DƯƠNG
GV10,HUYỆT LINH ĐÀI
GV11,HUYỆT THẦN ĐẠO
GV12,HUYỆT THÂN TRỤ
GV13,HUYỆT ĐÀO ĐẠO
GV14,HUYỆT ĐẠI CHUỲ
GV15,HUYỆT Á MÔN
GV16,HUYỆT PHONG PHỦ
GV17,HUYỆT NÃO HỘ
GV17,HUYỆT CƯỜNG GIAN
GV19,HUYỆT HẬU ĐỈNH
GV20,HUYỆT BÁCH HỘI
GV21,HUYỆT TIỀN ĐỈNH
GV22,HUYỆT TÍN HỘI
GV23,HUYỆT THƯỢNG TINH
GV24,HUYỆT THẦN ĐÌNH
GV25,HUYỆT TỐ LIÊU
GV26,HUYỆT NHÂN TRUNG
GV28,HUYỆT ĐOÀI ĐOAN
GV28,HUYỆT NGÂN GIAO
EX-HN1,HUYỆT TỨ THẦN THÔNG (Ex-HN 1 sishencong
EX-HN1,HUYỆT ĐƯƠNG DƯƠNG
EX-HN3,HUYỆT ẤN ĐƯỜNG
EX-HN4,HUYỆT NGƯ YÊU
EX-HN5,HUYỆT THÁI DƯƠNG
EX-HN6,HUYỆT NHĨ TIÊM
EX-HN7,HUYỆT CẦU HẬU
EX-HN8,HUYỆT THƯỢNG NGHINH HƯƠNG/TỊ THÔNG (Ex-HN 8 shàng yíng
LI-EX368,HUYỆT NỘI NGHINH HƯƠNG
KD-EX369,HUYỆT TỤ TUYỀN
LU-EX370,HUYỆT HẢI TUYỀN
EX-HN12,HUYỆT KIM TÂN
EX-HN13,HUYỆT NGỌC DỊCH
EX-HN14,HUYỆT Ế MINH
EX-HN15,HUYỆT CẢNH BÁCH LAO
EX-HN1,HUYỆT THƯỢNG MINH
EX-HN1,HUYỆT AN MIÊN
BL44,HUYỆT GIÁP LÝ
ST-EX378,HUYỆT GIÁP THỪA TƯƠNG
KH-EX379,HUYỆT SÙNG CỐT
KH-EX380,HUYỆT CẢNH TÝ
Ex-CA 1 zǐ gōng,HUYỆT TỬ CUNG (Ex-CA 1 zǐ gōng
KH-EX382,HUYỆT VỊ THƯỢNG
KH-EX383,HUYỆT TỀ TRUNG TỨ BIÊN
KH-EX384,HUYỆT DI TINH
PC-EX385,HUYỆT KHÍ MÔN
KH-EX386,HUYỆT ĐỀ THÁC
BL-EX387,HUYỆT CHỈ TẢ
EX-B3,HUYỆT TAM GIÁC CỨU
EX-B1,HUYỆT ĐỊNH SUYỄN
EX-B2,HUYỆT HOA ĐÀ GIÁP TÍCH
